Training,Target,Testing
[Ol Dirty Bastard] c'mon baby baby c'mon,1,Drugs
"[RZA] Yo, you best protect your neck",1,Drugs
First things first man you're fucking with the worst,1,Drugs
I'll be sticking pins in your head like a fucking nurse,1,Drugs
I'll attack any nigga who's slack in his mack,1,Drugs
Come fully packed with a fat rugged stack,1,Drugs
Shame on you when you stepped through to,1,Drugs
The Ol Dirty Bastard straight from the Brooklyn Zoo,1,Drugs
And I'll be damned if I let any man,1,Drugs
"Come to my center, you enter the winter",1,Drugs
Straight up and down that shit packed jam,1,Drugs
"You can't slam, don't let me get fool on him man",1,Drugs
The Ol Dirty Bastard is dirty and stinking,1,Drugs
"Ason, unique rolling with the night of the creeps",1,Drugs
Niggaz be rolling with a stash,1,Drugs
"ain't saying cash, bite my style I'll bite your motherfucking ass!",1,Drugs
For crying out loud my style is wild so book me,1,Drugs
Not long is how long that this rhyme took me,1,Drugs
"Ejecting, styles from my lethal weapon",1,Drugs
My pen that rocks from here to Oregon,1,Drugs
"Here's Mordigan, catch it like a psycho flashback",1,Drugs
"I love gats, if rap was a gun, you wouldn't bust back",1,Drugs
I come with shit that's all types of shapes and sounds,1,Drugs
And where I lounge is my stomping grounds,1,Drugs
I give a order to my peeps across the water,1,Drugs
To go and snatch up props all around the border,1,Drugs
And get far like a shooting star,1,Drugs
'cause who I am is dim in the light of Pablo Escobar,1,Drugs
Point blank as I kick the square biz,1,Drugs
There it is you're fucking with pros and there it goes,1,Drugs
You chill with the feedback black we don't need that,1,Drugs
"It's ten o'clock hoe, where the fuck's your seed at?",1,Drugs
"Feeling mad hostile, ran the apostle",1,Drugs
Flowing like Christ when I speaks the gospel,1,Drugs
Stroll with the holy roll then attack the globe with the buckus style,1,Drugs
"the ruckus, ten times ten men committing mad sin",1,Drugs
Turn the other cheek and I'll break your fucking chin,1,Drugs
Slaying boom-bangs like African drums (we'll be),1,Drugs
Coming around the mountain when I come,1,Drugs
Crazy flamboyant for the rap enjoyment,1,Drugs
My clan increase like black unemployment,1,Drugs
"Yeah, another one dare,",1,Drugs
Tuh-took a genius (to) take us the fuck outta here,1,Drugs
The Wu is too slamming for these Cold Killing labels,1,Drugs
Some ain't had hits since I seen Aunt Mabel,1,Drugs
Be doing artists in like Cain did Abel,1,Drugs
Now they money's gettin stuck to the gum under the table,1,Drugs
That's what you get when you misuse what I invent,1,Drugs
Your empire falls and you lose every cent,1,Drugs
For trying to blow up a scrub,1,Drugs
Now that thought was just as bright as a 20-watt light bulb,1,Drugs
Should've pumped it when I rocked it,1,Drugs
Niggaz so stingy they got short arms and deep pockets,1,Drugs
This goes on in some companies,1,Drugs
With majors they're scared to death to pump these,1,Drugs
"First of all, who's your A&R",1,Drugs
A mountain climber who plays an electric guitar,1,Drugs
But he don't know the meaning of dope,1,Drugs
When he's looking for a suit and tie rap,1,Drugs
that's cleaner than a bar of soap,1,Drugs
And I'm the dirtiest thing in sight,1,Drugs
Matter of fact bring out the girls and let's have a mud fight,1,Drugs
You take Sally and I'll take Sue,1,Drugs
There ain't no difference between the two,1,Drugs
"Cocaine, running all 'round my brain",1,Drugs
"Headin' down Scott, turnin' up Main",1,Drugs
Looking for that girl who sells cocaine,1,Drugs
"Cocaine, runnin' all 'round my brain",1,Drugs
Mmm momma come here quick,1,Drugs
That old Cocaine 'bout to make me sick,1,Drugs
"Cocaine, runnin' all 'round my brain",1,Drugs
Late last night about a quarter past four,1,Drugs
Ladanyi come knockin' down my hotel room door,1,Drugs
Where's the cocaine?,1,Drugs
It's runnin' all 'round my brain,1,Drugs
I was talking to my doctor down at the hospital,1,Drugs
"He said, ""Son, it says here you're twenty-seven",1,Drugs
But that's impossible ...,1,Drugs
"(Cocaine) You look like you could be forty-five.""",1,Drugs
Now I'm losing touch with reality and I'm almost out of blow,1,Drugs
It's such a fine line I hate to see it go,1,Drugs
"Cocaine, runnin' all 'round my brain",1,Drugs
I heard somebody fixed today,1,Drugs
There was no last goodbyes to say,1,Drugs
His will to live ran out,1,Drugs
I heard somebody turned to dust,1,Drugs
Looking back at what he left,1,Drugs
A list of plans and photographs,1,Drugs
Songs that never will be sung,1,Drugs
These are the things he don't get done,1,Drugs
"I've seen the man use the needle, seen the needle use the man",1,Drugs
I've seen them crawl from the cradle to the gutter on their hands,1,Drugs
"They fight a war but it's fatal, it's so hard to understand",1,Drugs
"I've seen the man use the needle, seen the needle use the man",1,Drugs
Just one shot to say goodbye,1,Drugs
One last taste to mourn and cry,1,Drugs
"Scores and shoots, the lights go dim",1,Drugs
Just one shot to do him in,1,Drugs
He hangs his head and wonders why,1,Drugs
Why the monkey only lies,1,Drugs
"But pay the pauper, he did choose",1,Drugs
He hung his head inside the noose,1,Drugs
"I've seen the man use the needle, seen the needle use the man",1,Drugs
I've seen them crawl from the cradle to the gutter on their hands,1,Drugs
"They fight a war but it's fatal, it's so hard to understand",1,Drugs
"I've seen the man use the needle, seen the needle use the man",1,Drugs
"Cryptic writing on the wall, the beginning of the end",1,Drugs
"I've seen myself use the needle, seen the needle in my hand",1,Drugs
Blood keeps drinking away,1,Drugs
Certain of its destination,1,Drugs
Driving through new orleans at night,1,Drugs
Gotta find a destination,1,Drugs
Just one fix,1,Drugs
Life keeps slipping away,1,Drugs
Fighting in a war with damnation,1,Drugs
"Poised, keep cutting away",1,Drugs
I'm looking in through to salvation,1,Drugs
Just one fix,1,Drugs
Like if I boarded a train,1,Drugs
Trying to take in another station,1,Drugs
Join us and the choice will be made,1,Drugs
Unless we kill the lie as a nation,1,Drugs
[Roll up! Roll up for the magical mystery tour!,1,Drugs
Step right this way!],1,Drugs
"Roll up, roll up for the mystery tour",1,Drugs
"Roll up, roll up for the mystery tour",1,Drugs
"Roll up (And that's an invitation), roll up for the mystery tour",1,Drugs
"Roll up (To make a reservation), roll up for the mystery tour",1,Drugs
The magical mystery tour is waiting to take you away,1,Drugs
Waiting to take you away,1,Drugs
"Roll up, roll up for the mystery tour",1,Drugs
"Roll up, roll up for the mystery tour",1,Drugs
"Roll up (We've got everything you need), roll up for the mystery tour",1,Drugs
"Roll up (Satisfaction guaranteed), roll up for the mystery tour",1,Drugs
The magical mystery tour is hoping to take you away,1,Drugs
Hoping to take you away,1,Drugs
Mystery trip,1,Drugs
Aaaah... the magical mystery tour,1,Drugs
"Roll up, roll up for the mystery tour",1,Drugs
"Roll up (And that's an invitation), roll up for the mystery tour",1,Drugs
"Roll up (To make a reservation), roll up for the mystery tour",1,Drugs
The magical mystery tour is coming to take you away,1,Drugs
Coming to take you away,1,Drugs
The magical mystery tour is dying to take you away,1,Drugs
"Dying to take you away, take you today",1,Drugs
"Welcome, to some shit that’s considered legendary",1,Drugs
I’m here to put the rap game in the cemetery,1,Drugs
They told me it couldn’t happen,1,Drugs
Ain’t no way in hell you gon' make millions off of rapping,1,Drugs
But I’m just so determined,1,Hello
Catch me on the stage spitting verses like a sermon,1,Hello
You know I had to make 'em realize,1,Hello
"Lights, camera, action, mofucker check the real in my eyes",1,Hello
Now they all looking so surprised,1,Hello
"The dawn of a new era, like the sun I arise",1,Hello
"Through these lyrics, I am immortalized",1,Hello
Strictly spitting the truth but the rest is telling more lies,1,Hello
This the type of shit most people fantasize,1,Hello
But this the shit I used to analyze,1,Hello
They told me I was too underground,1,Hello
So I took the mic out my basement and found another sound,1,Hello
"I want it, I need it, I’m coming for the crown",1,Hello
"Can’t nobody stop me, I’m Rocky lets go another round",1,Hello
I’m kinda on my Roc-A-Fella meets Nelson Mandela,1,Hello
"Raining money, no umbrella flow",1,Hello
Most of these people they will never know,1,Hello
What you have to sacrifice as a person to truly grow,1,Hello
See I'm in love with this shorty right,1,Hello
But first I gotta get this story right,1,Hello
Cause in this business love will never last,1,Hello
"Sold out shows, hoes, and a whole lot of ass",1,Hello
Damn what a concoction,1,Hello
But these hoes ain't an option,1,Hello
Cause a woman what I'm looking for,1,Hello
A girl with wisdom that give me brain so insane,1,Hello
Or maybe I'm just going insane,1,Hello
"On the road to success, so I'm living in the fast lane",1,Hello
"You gotta be hustling, like",1,Hello
You gotta treat this like you selling drugs...,1,Hello
It's ya boy yo gotti,1,Hello
Chea,1,Hello
Gucci mane the flare,1,Hello
My nigga Ralph in here,1,Hello
Zaytoven on the beat nigga,1,Hello
And it's a street nigga holiday,1,Hello
My Nigga D.J Holiday,1,Hello
Chea,1,Hello
Bricks,1,Hello
All white bricks,1,Hello
Off white bricks,1,Hello
Light tan bricks,1,Hello
"Just hit a lick, For 50 more bricks",1,Hello
"Balling like a bitch, with all these bricks",1,Hello
Bricks,1,Hello
36 zips,1,Hello
That's a whole chick,1,Hello
Wanna bad bitch? Gotta have bricks,1,Hello
Yea that make sense,1,Hello
Yea I make hits,1,Hello
But I still take bricks,1,Hello
"So icy c.e.o, I'm a fool with the snow",1,Hello
They think I'm puttin' v.v.s jewels in the coke,1,Hello
"My watch a cool hundred, Paint-job a cold 20",1,Hello
"And after this flip I'm quittin' the trap cold turkey, Sike!",1,Hello
The pack in and I'm workin',1,Hello
"Drought season in, charged ya ass a whole 30",1,Hello
But right now you can get it for a low number,1,Hello
"The fish scale white, Same color my hummer",1,Hello
Zone 6 polar bears never see summer,1,Hello
It's winter all year cause the birds fly under,1,Hello
95' Air Max cause I'm a dope runna',1,Hello
I'm ballin' like an athlete but got no jumper I'ts,1,Hello
Bricks,1,Hello
All white bricks,1,Hello
Off white bricks,1,Hello
Light tan bricks,1,Hello
Just hit a lick,1,Hello
For 50 more bricks,1,Hello
"Balling like a bitch, with all these bricks",1,Hello
Bricks,1,Hello
36 zips,1,Hello
That's a whole chick,1,Hello
Wanna bad bitch? Gotta have bricks,1,Hello
Yea that make sense,1,Hello
Yea I make hits,1,Hello
But I still take bricks,1,Hello
I'm like a waitress in the trap I got somethin' to serve,1,Hello
"That's 16 bars, Same price for a bird",1,Hello
What you need a bird?,1,Hello
Or A Couple Pounds?,1,Hello
"I'm on Cleveland Ave, You know my side of town",1,Hello
So many bricks I can build my own apartment,1,Hello
"Ya better a check, When ya come in my department",1,Hello
Yes I break em' down,1,Hello
"And I sell em' whole, Try me watch ya whole crew fall like some dominoes",1,Hello
I got a trap house,1,Hello
And a trap car,1,Hello
"100, 00 off a cap, That's a trap star",1,Hello
All this smoke got me feelin' real nauseous,1,Hello
Ridin' with them bricks got me feelin' real cautious,1,Hello
Bricks,1,Hello
All white bricks,1,Hello
Off white bricks,1,Hello
Light tan bricks,1,Hello
Just hit a lick,1,Hello
For 50 more bricks,1,Hello
"Balling like a bitch, with all these bricks",1,Hello
Bricks,1,Hello
36 zips,1,Hello
That's a whole chick,1,Hello
Wanna bad bitch? Gotta have bricks,1,Hello
Yea that make sense,1,Hello
Yea I make hits,1,Hello
But I still take bricks,1,Hello
"Tony Montana, All I have in this world",1,Hello
Is my 100 round chopper and my white girl,1,Hello
"Oil base bricks, Shit hard to cook",1,Hello
"Call the plug back, Tell him he got took",1,Hello
Know what that mean? The shit free,1,Hello
"That mean none for him, And more for me",1,Hello
"I took somethin', I'm gutta bitch",1,Hello
"Don't trust me dog, This that North Memphis shit",1,Hello
"Old school, New Porsche",1,Hello
Couple choppas just in case they wanna go to war bricks,1,Hello
A.k.a my best friend,1,Hello
28 inch rims call em' grown men,1,Hello
"Dope stepped on, Call it step child",1,Hello
"I got that Slim Shady, We call it 8 Mile",1,Hello
"I'm from North Memphis, Watkins and Brown",1,Hello
"Gotti Street, And nigga that's my brick house",1,Hello
Bricks,1,Hello
All white bricks,1,Hello
Off white bricks,1,Hello
Light tan bricks,1,Hello
Just hit a lick,1,Hello
For 50 more bricks,1,Hello
"Balling like a bitch, with all these bricks",1,Hello
Bricks,1,Hello
36 zips,1,Hello
That's a whole chick,1,Hello
Wanna bad bitch? Gotta have bricks,1,Hello
Yea that make sense,1,Hello
Yea I make hits,1,Hello
But I still take bricks,1,Hello
Host: I've heard whispers about the financial support,1,Hello
your government receives from the drug industry.,1,Hello
"Guest: Well, the irony of this, of course, is that",1,Hello
"this money, which is in the billions, is coming from",1,Hello
"your country. You see, you are the major purchaser of",1,Hello
"our national product, which is of course cocaine.",1,Hello
"Host: On one hand, you're saying the United States",1,Hello
government is spending millions of dollars to,1,Hello
eliminate the flow of drugs onto our streets. At the,1,Hello
"same time, we are doing business with the very same",1,Hello
government that is flooding our streets with cocaine.,1,Hello
"Guest: Mmm-hmm, si, si. Let me show you a few other",1,Hello
characters that are involved in this tragic comedy.,1,Hello
"Guest: Mmm-hmm, si, si. Let me show you a few other",1,Hello
characters that are involved in this tragic comedy.,1,Hello
*Two Men Speak in Spanish*,1,Hello
"I'm on the border of Bolivia, working for pennies",1,Hello
"Treated like a slave, the coke fields have to be ready",1,Hello
"The spirit of my people is starving, broken and sweaty",1,Hello
Dreaming about revolution (REVOLUTION!) looking at my machete,1,Hello
But the workload is too heavy to rise up in arms,1,Hello
"And if I ran away, I know they'd probably murder my moms",1,Hello
"So I pray to ""Heso Preisto"" when I go to the mission",1,Hello
"Process the cocaine, paced and play my position",1,Hello
"Ok, listen while I'm out there, just give me my product",1,Hello
Before we chop off ya hands for worker's misconduct,1,Hello
"I got the power to shoot a copper, and not get charged",1,Hello
And it would be sad to see your family in front of a firing squad,1,Hello
"So to feed your kids, I need these bricks",1,Hello
"40 tons in total, let me test it, indeed I (*sniff*)",1,Hello
"Shit, this is good, pass me a tissue",1,Hello
"And don't worry about them, I paid off the officials",1,Hello
"Yo, it don't come as a challenge, I'm the son of some of the foulest",1,Hello
"Our whole universe was in a hot dense state,",0,Hello
Then nearly fourteen billion years ago expansion started. Wait...,0,Hello
"The Earth began to cool,",0,Hello
"The autotrophs began to drool,",0,Hello
"Neanderthals developed tools,",0,Hello
"We built a wall (we built the pyramids),",0,Hello
"Math, science, history, unraveling the mystery,",0,Hello
That all started with the big bang (bang)!,0,Hello
"Since the dawn of man is really not that long,",0,Hello
As every galaxy was formed in less time than it takes to sing this song.,0,Hello
A fraction of a second and the elements were made.,0,Hello
"The bipeds stood up straight,",0,Hello
"The dinosaurs all met their fate,",0,Hello
They tried to leap but they were late,0,Hello
And they all died (they froze their asses off),0,Hello
The oceans and Pangaea,0,Hello
See ya wouldn't wanna be ya,0,Hello
Set in motion by the same big bang!,0,Hello
It all started with the big bang!,0,Hello
It's expanding ever outward but one day,0,Hello
It will pause and start to go the other way.,0,Hello
"Collapsing ever inward, we won't be here, it won't be heard",0,Hello
Our best and brightest figure that it'll make an even bigger bang!,0,Hello
Australopithecus would really have been sick of us,0,Hello
"Debating how we're here, they're catching deer (we're catching viruses)",0,Hello
Religion or astronomy (Descartes or Deuteronomy),0,Hello
It all started with the big bang!,0,Hello
"Music and mythology, Einstein and astrology",0,Hello
It all started with the big bang!,0,Hello
It all started with the big... bang!,0,Hello
You Go To My Head,0,Hello
Someone To Watch Over Me,0,Hello
These Foolish Things (Remind Me Of You),0,Hello
Why Shouldn't I?,0,Hello
I Don't Know Why (I Just Do),0,Hello
Try A Little Tenderness,0,Hello
(I Don't Stand) A Ghost Of A Chance With You,0,Hello
Paradise,0,Hello
Body And Soul,0,Hello
Laura,0,Hello
Fools Rush In,0,Hello
Spring Is Here,0,Hello
One For My Baby (And One More For The Road),0,Hello
Guess I'll Hang My Tears Out To Dry,0,Hello
When You Awake,0,Hello
It Never Entered My Mind,0,Hello
I'm Sorry I Made You Cry,0,Hello
How Deep Is The Ocean?,0,Hello
Over The Rainbow,0,Hello
She's Funny That Way,0,Hello
Embraceable You,0,Hello
All The Things You Are,0,Hello
That Old Black Magic,0,Hello
I Concentrate On You,0,Hello
Lover,0,Hello
It's Only A Paper Moon,0,Hello
My Blue Heaven,0,Hello
It All Depends On You,0,Hello
You Do Something To Me,0,Hello
Should I?,0,Hello
The Continental,0,Hello
When You're Smiling,0,Hello
My Funny Valentine,0,Hello
The Girl Next Door,0,Hello
A Foggy Day,0,Hello
Like Someone In Love,0,Hello
I Get A Kick Out Of You,0,Hello
Little Girl Blue,0,Hello
They Can't Take That Away From Me,0,Hello
Violets For Your Furs,0,Hello
Just One Of Those Things,0,Hello
I'm Gonna Sit Right Down (And Write Myself A Letter),0,Hello
Sunday,0,Hello
Wrap Your Troubles In Dreams,0,Hello
Taking A Chance On Love,0,Hello
Jeepers Creepers,0,Hello
Get Happy,0,Hello
All Of Me,0,Hello
In The Wee Small Hours Of The Morning,0,Hello
Mood Indigo,0,Hello
Glad To Be Unhappy,0,Hello
I Get Along Without You Very Well,0,Hello
Deep In A Dream,0,Hello
I See Your Face Before Me,0,Hello
Can't We Be Friends?,0,Hello
When Your Lover Has Gone,0,Hello
What Is This Thing Called Love,0,Hello
Last Night When We Were Young,0,Hello
I'll Be Around,0,Hello
Ill Wind,0,Hello
It Never Entered My Mind,0,Hello
Dancing On The Ceiling,0,Hello
I'll Never Be The Same,0,Hello
This Love Of Mine,0,Hello
You Make Me Feel So Young,0,Hello
It Happened In Monterey,0,Hello
You're Getting To Be A Habit With Me,0,Hello
You Brought A New Kind Of Love To Me,0,Hello
Too Marvelous For Words,0,Hello
Old Devil Moon,0,Hello
Pennies From Heaven,0,Hello
Love Is Here To Stay,0,Hello
I've Got You Under My Skin,0,Hello
I Thought About You,0,Hello
We'll Be Together Again,0,Hello
Makin' Whoopee,0,Hello
Swingin' Down The Lane,0,Hello
Anything Goes,0,Hello
How About You?,0,Hello
Close To You,0,Hello
P.S. I Love You,0,Hello
Love Locked Out,0,Hello
Everything Happens To Me,0,Hello
It's Easy To Remember,0,Hello
Don't Like Goodbyes,0,Hello
With Every Breath I Take,0,Hello
Blame It On My Youth,0,Hello
It Could Happen To You,0,Hello
I've Had My Moments,0,Hello
I Couldn't Sleep A Wink Last Night,0,Hello
The End Of A Love Affair,0,Hello
Night And Day,0,Hello
I Wish I Were In Love Again,0,Hello
I Got Plenty O' Nuttin',0,Hello
I Guess I'll Have To Change My Plan,0,Hello
Nice Work If You Can Get It,0,Hello
Stars Fell On Alabama,0,Hello
No One Ever Tells You,0,Hello
I Won't Dance,0,Hello
The Lonesome Road,0,Hello
At Long Last Love,0,Hello
You'd Be So Nice To Come Home To,0,Hello
I Got It Bad (And That Ain't Good),0,Hello
From This Moment On,0,Hello
If I Had You,0,Hello
Oh! Look At Me Now,0,Hello
Where Are You?,0,Hello
The Night We Called It A Day,0,Hello
I Cover The Waterfront,0,Hello
Maybe You'll Be There,0,Hello
Laura,0,Hello
Lonely Town,0,Hello
Autumn Leaves,0,Hello
I'm A Fool To Want You,0,Hello
I Think Of You,0,Hello
Where Is The One?,0,Hello
There's No You,0,Hello
"Baby, Won't You Please Come Home",0,Hello
I Can Read Between The Lines[CD Reissue Bonus Track],0,Hello
It Worries Me[CD Reissue Bonus Track],0,Hello
Rain[CD Reissue Bonus Track],0,Hello
Don't Worry 'Bout Me[CD Reissue Bonus Track],0,Hello
Come Fly With Me,0,Hello
Around The World,0,Hello
Isle Of Capri,0,Hello
Moonlight In Vermont,0,Hello
Autumn In New York,0,Hello
On The Road To Mandalay,0,Hello
Let's Get Away From It All,0,Hello
April In Paris,0,Hello
London By Night,0,Hello
Brazil,0,Hello
Blue Hawaii,0,Hello
It's Nice To Go Trav'ling,0,Hello
Chicago[CD Reissue Bonus Track],0,Hello
South Of The Border[CD Reissue Bonus Track],0,Hello
I Love Paris[CD Reissue Bonus Track],0,Hello
Only The Lonely,0,Hello
Angel Eyes,0,Hello
What's New?,0,Hello
It's A Lonesome Old Town,0,Hello
Willow Weep For Me,0,Hello
Good-Bye,0,Hello
Blues In The Night,0,Hello
Guess I'll Hang My Tears Out To Dry,0,Hello
Ebb Tide,0,Hello
Spring Is Here,0,Hello
Gone With The Wind,0,Hello
One For My Baby (And One More For The Road),0,Hello
Sleep Warm[CD Reissue Bonus Track],0,Hello
Where Or When[CD Reissue Bonus Track],0,Hello
Come Dance With Me,0,Hello
Something's Gotta Give,0,Hello
Just In Time,0,Hello
Dancing In The Dark,0,Hello
Too Close For Comfort,0,Hello
I Could Have Danced All Night,0,Hello
Saturday Night (Is The Loneliest Night Of The Week),0,Hello
"Day In, Day Out",0,Hello
Cheek To Cheek,0,Hello
"Baubles, Bangles And Beads",0,Hello
The Song Is You,0,Hello
The Last Dance,0,Hello
It All Depends On You[CD Reissue Bonus Track],0,Hello
Nothing In Common[CD Reissue Bonus Track],0,Hello
Same Old Song And Dance[CD Reissue Bonus Track],0,Hello
How Are Ya' Fixed For Love?[CD Reissue Bonus Track],0,Hello
Look To Your Heart,0,Hello
Anytime-Anywhere,0,Hello
Not As A Stranger,0,Hello
Our Town,0,Hello
"You, My Love",0,Hello
Same Old Saturday Night,0,Hello
Fairy Tale,0,Hello
The Impatient Years,0,Hello
I Could Have Told You,0,Hello
When I Stop Loving You,0,Hello
If I Had Three Wishes,0,Hello
I'm Gonna Live Till I Die,0,Hello
When No One Cares,0,Hello
A Cottage For Sale,0,Hello
Stormy Weather,0,Hello
Where Do You Go?,0,Hello
(I Don't Stand) A Ghost Of A Chance With You,0,Hello
Here's That Rainy Day,0,Hello
I Can't Get Started,0,Hello
Why Try To Change Me Now?,0,Hello
Just Friends,0,Hello
I'll Never Smile Again,0,Hello
None But The Lonely Heart,0,Hello
The One I Love (Belongs To Somebody Else)[CD Reissue Bonus Track],0,Hello
This Was My Love[CD Reissue Bonus Track],0,Hello
I Could Have Told You[CD Reissue Bonus Track],0,Hello
You Forgot All The Words (While I Still Remember The Tune)[CD Reissue Bonus Track],0,Hello
Nice 'n' Easy,0,Hello
That Old Feeling,0,Hello
How Deep Is The Ocean?,0,Hello
I've Got A Crush On You,0,Hello
You Go To My Head,0,Hello
Fools Rush In,0,Hello
Nevertheless,0,Hello
She's Funny That Way,0,Hello
Try A Little Tenderness,0,Hello
Embraceable You,0,Hello
Mam'selle,0,Hello
Dream,0,Hello
The Nearness Of You[CD Reissue Bonus Track],0,Hello
Someone To Watch Over Me[CD Reissue Bonus Track],0,Hello
"Day In, Day Out[CD Reissue Bonus Track]",0,Hello
My One And Only Love[CD Reissue Bonus Track],0,Hello
When You're Smiling,0,Hello
Blue Moon,0,Hello
S'posin',0,Hello
It All Depends On You,0,Hello
It's Only A Paper Moon,0,Hello
My Blue Heaven,0,Hello
Should I?,0,Hello
September In The Rain,0,Hello
Always,0,Hello
I Can't Believe That You're In Love With Me,0,Hello
I Concentrate On You,0,Hello
You Do Something To Me,0,Hello
Sentimental Baby[CD Reissue Bonus Track],0,Hello
Hidden Persuasion[CD Reissue Bonus Track],0,Hello
Ol' McDonald[CD Reissue Bonus Track],0,Hello
Day By Day,0,Hello
Sentimental Journey,0,Hello
Almost Like Being In Love,0,Hello
Five Minutes More,0,Hello
American Beauty Rose,0,Hello
Yes Indeed,0,Hello
On The Sunny Side Of The Street,0,Hello
Don't Take Your Love From Me,0,Hello
That Old Black Magic,0,Hello
Lover,0,Hello
Paper Doll,0,Hello
I've Heard That Song Before,0,Hello
I Love You[CD Reissue Bonus Track],0,Hello
Why Should I Cry Over You[CD Reissue Bonus Track],0,Hello
How Could You Do A Thing Like That To Me[CD Reissue Bonus Track],0,Hello
"River, Stay 'Way From My Door[CD Reissue Bonus Track]",0,Hello
I Gotta Right To Sing The Blues[CD Reissue Bonus Track],0,Hello
"(Ah, The Apple Trees) When The World Was Young",0,Hello
I'll Remember April,0,Hello
September Song,0,Hello
A Million Dreams Ago,0,Hello
I'll See You Again,0,Hello
There Will Never Be Another You,0,Hello
Somewhere Along The Way,0,Hello
It's A Blue World,0,Hello
These Foolish Things (Remind Me Of You),0,Hello
As Time Goes By,0,Hello
I'll Be Seeing You,0,Hello
Memories Of You,0,Hello
"Day In, Day Out[CD Reissue Bonus Track]",0,Hello
Don't Make A Beggar Of Me[CD Reissue Bonus Track],0,Hello
Lean Baby[CD Reissue Bonus Track],0,Hello
I'm Walking Behind You[CD Reissue Bonus Track],0,Hello
Ring-A-Ding Ding,0,Hello
Let's Fall In Love,0,Hello
In The Still Of The Night,0,Hello
A Foggy Day,0,Hello
Let's Face The Music And Dance,0,Hello
You'd Be So Easy To Love,0,Hello
A Fine Romance,0,Hello
The Coffee Song,0,Hello
"Be Careful, It's My Heart",0,Hello
I've Got My Love To Keep Me Warm,0,Hello
Zing! Went The Strings Of My Heart,0,Hello
You And The Night And The Music,0,Hello
When I Take My Sugar To Tea,0,Hello
The Last Dance,0,Hello
The Second Time Around,0,Hello
Tina,0,Hello
In The Blue Of Evening,0,Hello
I'll Be Seeing You,0,Hello
I'm Getting Sentimental Over You,0,Hello
Imagination,0,Hello
Take Me,0,Hello
Without A Song,0,Hello
Polka Dots And Moonbeams,0,Hello
Daybreak,0,Hello
The One I Love (Belongs To Somebody Else),0,Hello
There Are Such Things,0,Hello
It's Always You,0,Hello
It Started All Over Again,0,Hello
East Of The Sun (And West Of The Moon),0,Hello
The Curse Of An Aching Heart,0,Hello
Love Walked In,0,Hello
Please Don't Talk About Me When I'm Gone,0,Hello
Have You Met Miss Jones?,0,Hello
Don't Be That Way,0,Hello
I Never Knew,0,Hello
Falling In Love With Love,0,Hello
It's A Wonderful World,0,Hello
Don't Cry Joe,0,Hello
You're Nobody 'Til Somebody Loves You,0,Hello
Moonlight On The Ganges,0,Hello
Granada,0,Hello
As You Desire Me,0,Hello
Stardust,0,Hello
Yesterdays,0,Hello
I Hadn't Anyone Till You,0,Hello
It Might As Well Be Spring,0,Hello
Prisoner Of Love,0,Hello
That's All,0,Hello
Don't Take Your Love From Me,0,Hello
Misty,0,Hello
Come Rain Or Come Shine,0,Hello
Night And Day,0,Hello
All Or Nothing At All,0,Hello
Pocketful Of Miracles,0,Hello
Name It And It's Yours,0,Hello
The Song Is Ended,0,Hello
All Alone,0,Hello
Charmaine,0,Hello
When I Lost You,0,Hello
Remember,0,Hello
Together,0,Hello
The Girl Next Door,0,Hello
Indiscreet,0,Hello
What'll I Do?,0,Hello
"Oh, How I Miss You Tonight",0,Hello
Are You Lonesome Tonight?,0,Hello
Come Waltz With Me,0,Hello
Everybody's Twistin',0,Hello
Nothing But The Best,0,Hello
The Boys' Night Out,0,Hello
Can't We Be Friends?,0,Hello
Isn't This A Lovely Day?,0,Hello
Moonlight In Vermont,0,Hello
They Can't Take That Away From Me,0,Hello
Under A Blanket Of Blue,0,Hello
Tenderly,0,Hello
A Foggy Day,0,Hello
Stars Fell On Alabama,0,Hello
Cheek To Cheek,0,Hello
The Nearness Of You,0,Hello
April In Paris,0,Hello
Don't Be That Way,0,Hello
Makin' Whoopee,0,Hello
They All Laughed,0,Hello
Comes Love,0,Hello
Autumn In New York,0,Hello
Let's Do It (Let's Fall In Love),0,Hello
Stompin' At The Savoy,0,Hello
I Won't Dance,0,Hello
"Gee, Baby, Ain't I Good To You?",0,Hello
Let's Call The Whole Thing Off,0,Hello
These Foolish Things,0,Hello
I've Got My Love To Keep Me Warm,0,Hello
Willow Weep For Me,0,Hello
I'm Putting All My Eggs In One Basket,0,Hello
A Fine Romance,0,Hello
Ill Wind (You're Blowin' Me No Good),0,Hello
Love Is Here To Stay,0,Hello
I Get A Kick Out Of You,0,Hello
Learnin' The Blues,0,Hello
You Won't Be Satisfied (Until You Break My Heart),0,Hello
Undecided,0,Hello
Summertime,0,Hello
I Wants To Stay Here,0,Hello
My Man's Gone Now,0,Hello
I Got Plenty O' Nuttin',0,Hello
The Buzzard Song,0,Hello
"Bess, You Is My Woman Now",0,Hello
It Ain't Necessarily So,0,Hello
What You Want Wid Bess?,0,Hello
A Woman Is A Sometime Thing,0,Hello
"Oh, Doctor Jesus",0,Hello
There's A Boat Dat's Leavin' Soon For New York,0,Hello
"Bess, Oh Where's My Bess?",0,Hello
"Oh Lawd, I'm On My Way=",0,Hello
All Through The Night,0,Hello
Anything Goes,0,Hello
Miss Otis Regrets (She's Unable To Have Lunch Today),0,Hello
Too Darn Hot,0,Hello
