Training,Target
But I still take bricks,1
"So icy c.e.o, I'm a fool with the snow",1
They think I'm puttin' v.v.s jewels in the coke,1
"My watch a cool hundred, Paint-job a cold 20",1
"And after this flip I'm quittin' the trap cold turkey, Sike!",1
The pack in and I'm workin',1
"Drought season in, charged ya ass a whole 30",1
But right now you can get it for a low number,1
"The fish scale white, Same color my hummer",1
Zone 6 polar bears never see summer,1
It's winter all year cause the birds fly under,1
95' Air Max cause I'm a dope runna',1
I'm ballin' like an athlete but got no jumper I'ts,1
Bricks,1
All white bricks,1
Off white bricks,1
Light tan bricks,1
Just hit a lick,1
For 50 more bricks,1
"Balling like a bitch, with all these bricks",1
Bricks,1
36 zips,1
That's a whole chick,1
Wanna bad bitch? Gotta have bricks,1
Yea that make sense,1
Yea I make hits,1
But I still take bricks,1
I'm like a waitress in the trap I got somethin' to serve,1
"That's 16 bars, Same price for a bird",1
What you need a bird?,1
Or A Couple Pounds?,1
"I'm on Cleveland Ave, You know my side of town",1
So many bricks I can build my own apartment,1
"Ya better a check, When ya come in my department",1
Yes I break em' down,1
"And I sell em' whole, Try me watch ya whole crew fall like some dominoes",1
I got a trap house,1
And a trap car,1
"100, 00 off a cap, That's a trap star",1
All this smoke got me feelin' real nauseous,1
Ridin' with them bricks got me feelin' real cautious,1
Bricks,1
All white bricks,1
Off white bricks,1
Light tan bricks,1
Just hit a lick,1
For 50 more bricks,1
"Balling like a bitch, with all these bricks",1
Bricks,1
36 zips,1
That's a whole chick,1
Wanna bad bitch? Gotta have bricks,1
Yea that make sense,1
Yea I make hits,1
But I still take bricks,1
"Tony Montana, All I have in this world",1
Is my 100 round chopper and my white girl,1
"Oil base bricks, Shit hard to cook",1
"Call the plug back, Tell him he got took",1
Know what that mean? The shit free,1
"That mean none for him, And more for me",1
"I took somethin', I'm gutta bitch",1
"Don't trust me dog, This that North Memphis shit",1
"Old school, New Porsche",1
Couple choppas just in case they wanna go to war bricks,1
A.k.a my best friend,1
28 inch rims call em' grown men,1
"Dope stepped on, Call it step child",1
"I got that Slim Shady, We call it 8 Mile",1
"I'm from North Memphis, Watkins and Brown",1
"Gotti Street, And nigga that's my brick house",1
Bricks,1
All white bricks,1
Off white bricks,1
Light tan bricks,1
Just hit a lick,1
For 50 more bricks,1
"Balling like a bitch, with all these bricks",1
Bricks,1
36 zips,1
That's a whole chick,1
Wanna bad bitch? Gotta have bricks,1
Yea that make sense,1
Yea I make hits,1
But I still take bricks,1
Host: I've heard whispers about the financial support,1
your government receives from the drug industry.,1
"Guest: Well, the irony of this, of course, is that",1
"this money, which is in the billions, is coming from",1
"your country. You see, you are the major purchaser of",1
"our national product, which is of course cocaine.",1
"Host: On one hand, you're saying the United States",1
government is spending millions of dollars to,1
eliminate the flow of drugs onto our streets. At the,1
"same time, we are doing business with the very same",1
government that is flooding our streets with cocaine.,1
"Guest: Mmm-hmm, si, si. Let me show you a few other",1
characters that are involved in this tragic comedy.,1
"Guest: Mmm-hmm, si, si. Let me show you a few other",1
characters that are involved in this tragic comedy.,1
*Two Men Speak in Spanish*,1
"I'm on the border of Bolivia, working for pennies",1
"Treated like a slave, the coke fields have to be ready",1
"The spirit of my people is starving, broken and sweaty",1
Dreaming about revolution (REVOLUTION!) looking at my machete,1
But the workload is too heavy to rise up in arms,1
"And if I ran away, I know they'd probably murder my moms",1
"So I pray to ""Heso Preisto"" when I go to the mission",1
"Process the cocaine, paced and play my position",1
"Ok, listen while I'm out there, just give me my product",1
Before we chop off ya hands for worker's misconduct,1
"I got the power to shoot a copper, and not get charged",1
And it would be sad to see your family in front of a firing squad,1
"So to feed your kids, I need these bricks",1
"40 tons in total, let me test it, indeed I (*sniff*)",1
"Shit, this is good, pass me a tissue",1
"And don't worry about them, I paid off the officials",1
"Yo, it don't come as a challenge, I'm the son of some of the foulest",1
"Our whole universe was in a hot dense state,",0
Then nearly fourteen billion years ago expansion started. Wait...,0
"The Earth began to cool,",0
"The autotrophs began to drool,",0
"Neanderthals developed tools,",0
"We built a wall (we built the pyramids),",0
"Math, science, history, unraveling the mystery,",0
That all started with the big bang (bang)!,0
"Since the dawn of man is really not that long,",0
As every galaxy was formed in less time than it takes to sing this song.,0
A fraction of a second and the elements were made.,0
"The bipeds stood up straight,",0
"The dinosaurs all met their fate,",0
They tried to leap but they were late,0
And they all died (they froze their asses off),0
The oceans and Pangaea,0
See ya wouldn't wanna be ya,0
Set in motion by the same big bang!,0
It all started with the big bang!,0
It's expanding ever outward but one day,0
It will pause and start to go the other way.,0
"Collapsing ever inward, we won't be here, it won't be heard",0
Our best and brightest figure that it'll make an even bigger bang!,0
Australopithecus would really have been sick of us,0
"Debating how we're here, they're catching deer (we're catching viruses)",0
Religion or astronomy (Descartes or Deuteronomy),0
It all started with the big bang!,0
"Music and mythology, Einstein and astrology",0
It all started with the big bang!,0
It all started with the big... bang!,0
You Go To My Head,0
Someone To Watch Over Me,0
These Foolish Things (Remind Me Of You),0
Why Shouldn't I?,0
I Don't Know Why (I Just Do),0
Try A Little Tenderness,0
(I Don't Stand) A Ghost Of A Chance With You,0
Paradise,0
Body And Soul,0
Laura,0
Fools Rush In,0
Spring Is Here,0
One For My Baby (And One More For The Road),0
Guess I'll Hang My Tears Out To Dry,0
When You Awake,0
It Never Entered My Mind,0
I'm Sorry I Made You Cry,0
How Deep Is The Ocean?,0
Over The Rainbow,0
She's Funny That Way,0
Embraceable You,0
All The Things You Are,0
That Old Black Magic,0
I Concentrate On You,0
Lover,0
It's Only A Paper Moon,0
My Blue Heaven,0
It All Depends On You,0
You Do Something To Me,0
Should I?,0
The Continental,0
When You're Smiling,0
My Funny Valentine,0
The Girl Next Door,0
A Foggy Day,0
Like Someone In Love,0
I Get A Kick Out Of You,0
Little Girl Blue,0
They Can't Take That Away From Me,0
Violets For Your Furs,0
Just One Of Those Things,0
I'm Gonna Sit Right Down (And Write Myself A Letter),0
Sunday,0
Wrap Your Troubles In Dreams,0
Taking A Chance On Love,0
Jeepers Creepers,0
Get Happy,0
All Of Me,0
In The Wee Small Hours Of The Morning,0
Mood Indigo,0
Glad To Be Unhappy,0
I Get Along Without You Very Well,0
Deep In A Dream,0
I See Your Face Before Me,0
Can't We Be Friends?,0
When Your Lover Has Gone,0
What Is This Thing Called Love,0
Last Night When We Were Young,0
I'll Be Around,0
Ill Wind,0
It Never Entered My Mind,0
Dancing On The Ceiling,0
I'll Never Be The Same,0
This Love Of Mine,0
You Make Me Feel So Young,0
It Happened In Monterey,0
You're Getting To Be A Habit With Me,0
You Brought A New Kind Of Love To Me,0
Too Marvelous For Words,0
Old Devil Moon,0
Pennies From Heaven,0
Love Is Here To Stay,0
I've Got You Under My Skin,0
I Thought About You,0
We'll Be Together Again,0
Makin' Whoopee,0
Swingin' Down The Lane,0
Anything Goes,0
How About You?,0
Close To You,0
P.S. I Love You,0
Love Locked Out,0
Everything Happens To Me,0
It's Easy To Remember,0
Don't Like Goodbyes,0
With Every Breath I Take,0
Blame It On My Youth,0
It Could Happen To You,0
I've Had My Moments,0
I Couldn't Sleep A Wink Last Night,0
The End Of A Love Affair,0
Night And Day,0
I Wish I Were In Love Again,0
I Got Plenty O' Nuttin',0
I Guess I'll Have To Change My Plan,0
Nice Work If You Can Get It,0
Stars Fell On Alabama,0
No One Ever Tells You,0
I Won't Dance,0
The Lonesome Road,0
At Long Last Love,0
You'd Be So Nice To Come Home To,0
I Got It Bad (And That Ain't Good),0
From This Moment On,0
If I Had You,0
Oh! Look At Me Now,0
Where Are You?,0
The Night We Called It A Day,0
I Cover The Waterfront,0
Maybe You'll Be There,0
Laura,0
Lonely Town,0
Autumn Leaves,0
I'm A Fool To Want You,0
I Think Of You,0
Where Is The One?,0
There's No You,0
"Baby, Won't You Please Come Home",0
I Can Read Between The Lines[CD Reissue Bonus Track],0
It Worries Me[CD Reissue Bonus Track],0
Rain[CD Reissue Bonus Track],0
Don't Worry 'Bout Me[CD Reissue Bonus Track],0
Come Fly With Me,0
Around The World,0
Isle Of Capri,0
Moonlight In Vermont,0
Autumn In New York,0
On The Road To Mandalay,0
Let's Get Away From It All,0
April In Paris,0
London By Night,0
Brazil,0
Blue Hawaii,0
It's Nice To Go Trav'ling,0
Chicago[CD Reissue Bonus Track],0
South Of The Border[CD Reissue Bonus Track],0
I Love Paris[CD Reissue Bonus Track],0
Only The Lonely,0
Angel Eyes,0
What's New?,0
It's A Lonesome Old Town,0
Willow Weep For Me,0
Good-Bye,0
Blues In The Night,0
Guess I'll Hang My Tears Out To Dry,0
Ebb Tide,0
Spring Is Here,0
Gone With The Wind,0
One For My Baby (And One More For The Road),0
Sleep Warm[CD Reissue Bonus Track],0
Where Or When[CD Reissue Bonus Track],0
Come Dance With Me,0
Something's Gotta Give,0
Just In Time,0
Dancing In The Dark,0
Too Close For Comfort,0
I Could Have Danced All Night,0
Saturday Night (Is The Loneliest Night Of The Week),0
"Day In, Day Out",0
Cheek To Cheek,0
"Baubles, Bangles And Beads",0
The Song Is You,0
The Last Dance,0
It All Depends On You[CD Reissue Bonus Track],0
Nothing In Common[CD Reissue Bonus Track],0
Same Old Song And Dance[CD Reissue Bonus Track],0
How Are Ya' Fixed For Love?[CD Reissue Bonus Track],0
Look To Your Heart,0
Anytime-Anywhere,0
Not As A Stranger,0
Our Town,0
"You, My Love",0
Same Old Saturday Night,0
Fairy Tale,0
The Impatient Years,0
I Could Have Told You,0
When I Stop Loving You,0
If I Had Three Wishes,0
I'm Gonna Live Till I Die,0
When No One Cares,0
A Cottage For Sale,0
Stormy Weather,0
Where Do You Go?,0
(I Don't Stand) A Ghost Of A Chance With You,0
Here's That Rainy Day,0
I Can't Get Started,0
Why Try To Change Me Now?,0
Just Friends,0
I'll Never Smile Again,0
None But The Lonely Heart,0
The One I Love (Belongs To Somebody Else)[CD Reissue Bonus Track],0
This Was My Love[CD Reissue Bonus Track],0
I Could Have Told You[CD Reissue Bonus Track],0
You Forgot All The Words (While I Still Remember The Tune)[CD Reissue Bonus Track],0
Nice 'n' Easy,0
That Old Feeling,0
How Deep Is The Ocean?,0
I've Got A Crush On You,0
You Go To My Head,0
Fools Rush In,0
Nevertheless,0
She's Funny That Way,0
Try A Little Tenderness,0
Embraceable You,0
Mam'selle,0
Dream,0
The Nearness Of You[CD Reissue Bonus Track],0
Someone To Watch Over Me[CD Reissue Bonus Track],0
"Day In, Day Out[CD Reissue Bonus Track]",0
My One And Only Love[CD Reissue Bonus Track],0
When You're Smiling,0
Blue Moon,0
S'posin',0
It All Depends On You,0
It's Only A Paper Moon,0
My Blue Heaven,0
Should I?,0
September In The Rain,0
Always,0
I Can't Believe That You're In Love With Me,0
I Concentrate On You,0
You Do Something To Me,0
Sentimental Baby[CD Reissue Bonus Track],0
Hidden Persuasion[CD Reissue Bonus Track],0
Ol' McDonald[CD Reissue Bonus Track],0
Day By Day,0
Sentimental Journey,0
Almost Like Being In Love,0
Five Minutes More,0
American Beauty Rose,0
Yes Indeed,0
On The Sunny Side Of The Street,0
Don't Take Your Love From Me,0
That Old Black Magic,0
Lover,0
Paper Doll,0
I've Heard That Song Before,0
I Love You[CD Reissue Bonus Track],0
Why Should I Cry Over You[CD Reissue Bonus Track],0
How Could You Do A Thing Like That To Me[CD Reissue Bonus Track],0
"River, Stay 'Way From My Door[CD Reissue Bonus Track]",0
I Gotta Right To Sing The Blues[CD Reissue Bonus Track],0
"(Ah, The Apple Trees) When The World Was Young",0
I'll Remember April,0
September Song,0
A Million Dreams Ago,0
I'll See You Again,0
There Will Never Be Another You,0
Somewhere Along The Way,0
It's A Blue World,0
These Foolish Things (Remind Me Of You),0
As Time Goes By,0
I'll Be Seeing You,0
Memories Of You,0
"Day In, Day Out[CD Reissue Bonus Track]",0
Don't Make A Beggar Of Me[CD Reissue Bonus Track],0
Lean Baby[CD Reissue Bonus Track],0
I'm Walking Behind You[CD Reissue Bonus Track],0
Ring-A-Ding Ding,0
Let's Fall In Love,0
In The Still Of The Night,0
A Foggy Day,0
Let's Face The Music And Dance,0
You'd Be So Easy To Love,0
A Fine Romance,0
The Coffee Song,0
"Be Careful, It's My Heart",0
I've Got My Love To Keep Me Warm,0
Zing! Went The Strings Of My Heart,0
You And The Night And The Music,0
When I Take My Sugar To Tea,0
The Last Dance,0
The Second Time Around,0
Tina,0
In The Blue Of Evening,0
I'll Be Seeing You,0
I'm Getting Sentimental Over You,0
Imagination,0
Take Me,0
Without A Song,0
Polka Dots And Moonbeams,0
Daybreak,0
The One I Love (Belongs To Somebody Else),0
There Are Such Things,0
It's Always You,0
It Started All Over Again,0
East Of The Sun (And West Of The Moon),0
The Curse Of An Aching Heart,0
Love Walked In,0
Please Don't Talk About Me When I'm Gone,0
Have You Met Miss Jones?,0
Don't Be That Way,0
I Never Knew,0
Falling In Love With Love,0
It's A Wonderful World,0
Don't Cry Joe,0
You're Nobody 'Til Somebody Loves You,0
Moonlight On The Ganges,0
Granada,0
As You Desire Me,0
Stardust,0
Yesterdays,0
I Hadn't Anyone Till You,0
It Might As Well Be Spring,0
Prisoner Of Love,0
That's All,0
Don't Take Your Love From Me,0
Misty,0
Come Rain Or Come Shine,0
Night And Day,0
All Or Nothing At All,0
Pocketful Of Miracles,0
Name It And It's Yours,0
The Song Is Ended,0
All Alone,0
Charmaine,0
When I Lost You,0
Remember,0
Together,0
The Girl Next Door,0
Indiscreet,0
What'll I Do?,0
"Oh, How I Miss You Tonight",0
Are You Lonesome Tonight?,0
Come Waltz With Me,0
Everybody's Twistin',0
Nothing But The Best,0
The Boys' Night Out,0
Can't We Be Friends?,0
Isn't This A Lovely Day?,0
Moonlight In Vermont,0
They Can't Take That Away From Me,0
Under A Blanket Of Blue,0
Tenderly,0
A Foggy Day,0
Stars Fell On Alabama,0
Cheek To Cheek,0
The Nearness Of You,0
April In Paris,0
Don't Be That Way,0
Makin' Whoopee,0
They All Laughed,0
Comes Love,0
Autumn In New York,0
Let's Do It (Let's Fall In Love),0
Stompin' At The Savoy,0
I Won't Dance,0
"Gee, Baby, Ain't I Good To You?",0
Let's Call The Whole Thing Off,0
These Foolish Things,0
I've Got My Love To Keep Me Warm,0
Willow Weep For Me,0
I'm Putting All My Eggs In One Basket,0
A Fine Romance,0
Ill Wind (You're Blowin' Me No Good),0
Love Is Here To Stay,0
I Get A Kick Out Of You,0
Learnin' The Blues,0
You Won't Be Satisfied (Until You Break My Heart),0
Undecided,0
Summertime,0
I Wants To Stay Here,0
My Man's Gone Now,0
I Got Plenty O' Nuttin',0
The Buzzard Song,0
"Bess, You Is My Woman Now",0
It Ain't Necessarily So,0
What You Want Wid Bess?,0
A Woman Is A Sometime Thing,0
"Oh, Doctor Jesus",0
There's A Boat Dat's Leavin' Soon For New York,0
"Bess, Oh Where's My Bess?",0
"Oh Lawd, I'm On My Way=",0
All Through The Night,0
Anything Goes,0
Miss Otis Regrets (She's Unable To Have Lunch Today),0
Too Darn Hot,0
In The Still Of The Night,0
I Get A Kick Out Of You,0
Do I Love You?,0
(I'm) Always True To You In My Fashion,0
Let's Do It (Let's Fall In Love),0
Just One Of Those Things,0
Ev'ry Time We Say Goodbye,0
All Of You,0
Begin The Beguine,0
Get Out Of Town,0
I Am In Love,0
From This Moment On,0
I Love Paris,0
You Do Something To Me,0
Ridin' High,0
Easy To Love,0
It's All Right With Me,0
Why Can't You Behave?,0
What Is This Thing Called Love?,0
You're The Top,0
Love For Sale,0
It's De-Lovely,0
Night And Day,0
Ace In The Hole,0
So In Love,0
I've Got You Under My Skin,0
I Concentrate On You,0
Don't Fence Me In,0
You're The Top,0
I Concentrate On You,0
Let's Do It (Let's Fall In Love),0
Have You Met Miss Jones?,0
You Took Advantage Of Me,0
A Ship Without A Sail,0
To Keep My Love Alive,0
Dancing On The Ceiling,0
The Lady Is A Tramp,0
With A Song In My Heart,0
Manhattan,0
Johnny One Note,0
I Wish I Were In Love Again,0
Spring Is Here,0
It Never Entered My Mind,0
This Can't Be Love,0
Thou Swell,0
My Romance,0
Where Or When,0
Little Girl Blue,0
Give It Back To The Indians,0
Ten Cents A Dance,0
There's A Small Hotel,0
I Didn't Know What Time It Was,0
Ev'rything I've Got,0
I Could Write A Book,0
Blue Room,0
My Funny Valentine,0
Bewitched,0
Mountain Greenery,0
Wait Till You See Her,0
Lover,0
Isn't It Romantic?,0
Here In My Arms,0
Blue Moon,0
My Heart Stood Still,0
I've Got Five Dollars,0
Lover,0
Drop Me Off In Harlem,0
Day Dream,0
Caravan,0
Take The 'A' Train,0
I Ain't Got Nothin' But The Blues,0
I Didn't Know About You,0
I'm Beginning To See The Light,0
Lost In Meditation,0
Perdido,0
Cotton Tail,0
Do Nothin' Till You Hear From Me,0
Just A-Sittin' And A-Rockin',0
Solitude,0
Rocks In My Bed,0
Satin Doll,0
Sophisticated Lady,0
Just Squeeze Me (But Don't Tease Me),0
It Don't Mean A Thing (If It Ain't Got That Swing),0
Azure,0
I Let A Song Go Out Of My Heart,0
In A Sentimental Mood,0
Don't Get Around Much Anymore,0
Prelude To A Kiss,0
Mood Indigo,0
In A Mellow Tone,0
Love You Madly,0
Lush Life,0
Squatty Roo,0
I'm Just A Lucky So And So,0
All Too Soon,0
Everything But You,0
I Got It Bad (And That Ain't Good),0
Bli-Blip,0
Let's Face The Music And Dance,0
You're Laughing At Me,0
Let Yourself Go,0
You Can Have Him,0
Russian Lullaby,0
Puttin' On The Ritz,0
Get Thee Behind Me Satan,0
Alexander's Ragtime Band,0
"Top Hat, White Tie, And Tails",0
How About Me?,0
Cheek To Cheek,0
I Used To Be Color Blind,0
Lazy,0
How Deep Is The Ocean?,0
All By Myself,0
Remember,0
Suppertime,0
How's Chances,0
Heat Wave,0
Isn't This A Lovely Day?,0
You Keep Coming Back Like A Song,0
Reaching For The Moon,0
Slumming On Park Avenue,0
The Song Is Ended (But The Melody Lingers On),0
I'm Putting All My Eggs In One Basket,0
Now It Can Be Told,0
Always,0
It's A Lovely Day Today,0
Change Partners,0
No Strings (I'm Fancy Free),0
I've Got My Love To Keep Me Warm,0
Blue Skies,0
Sam And Delilah,0
But Not For Me,0
My One And Only,0
Let's Call The Whole Thing Off,0
(I've Got) Beginner's Luck,0
"Oh, Lady Be Good",0
Nice Work If You Can Get It,0
Things Are Looking Up,0
Just Another Rhumba,0
How Long Has This Been Going On?,0
S Wonderful,0
The Man I Love,0
That Certain Feeling,0
By Strauss,0
Someone To Watch Over Me,0
The Real American Folk Song,0
Who Cares?,0
Looking For A Boy,0
They All Laughed,0
My Cousin In Milwaukee,0
Somebody From Somewhere,0
A Foggy Day,0
Clap Yo' Hands,0
"For You, For Me, For Evermore",0
Stiff Upper Lip,0
Boy Wanted,0
Strike Up The Band,0
Soon,0
I've Got A Crush On You,0
Bidin' My Time,0
Aren't You Kind Of Glad We Did?,0
Of Thee I Sing (Baby),0
The Half Of It Dearie Blues,0
I Was Doing All Right,0
He Loves And She Loves,0
Love Is Sweeping The Country,0
Treat Me Rough,0
Our Love Is Here To Stay,0
Slap That Bass,0
Isn't It A Pity,0
Shall We Dance?,0
Love Walked In,0
You've Got What Gets Me,0
They Can't Take That Away From Me,0
Embraceable You,0
I Can't Be Bothered Now,0
Boy! What Love Has Done To Me,0
Fascinating Rhythm,0
Funny Face,0
Lorelei,0
"Oh, So Nice",0
Let's Kiss And Make Up,0
I Got Rhythm,0
Somebody Loves Me,0
Cheerful Little Earful,0
But Not For Me,0
Blues In The Night,0
Let's Fall In Love,0
Stormy Weather (Keeps Rainin' All The Time),0
Between The Devil And The Deep Blue Sea,0
My Shining Hour,0
Hooray For Love,0
This Time The Dream's On Me,0
That Old Black Magic,0
I've Got The World On A String,0
Let's Take A Walk Around The Block,0
Ill Wind (You're Blowin' Me No Good),0
Ac-Cent-Tchu-Ate The Positive,0
When The Sun Comes Out,0
Come Rain Or Come Shine,0
As Long As I Live,0
Happiness Is A Thing Called Joe,0
It's Only A Paper Moon,0
The Man That Got Away,0
One For My Baby (And One More For The Road),0
It Was Written In The Stars,0
Get Happy,0
I Gotta Right To Sing The Blues,0
Out Of This World,0
Over The Rainbow,0
Ding-Dong! The Witch Is Dead,0
Sing My Heart,0
Let's Take A Walk Around The Block,0
Sing My Heart,0
Let's Begin,0
A Fine Romance,0
All The Things You Are,0
I'll Be Hard To Handle,0
You Couldn't Be Cuter,0
She Didn't Say Yes,0
I'm Old Fashioned,0
Remind Me,0
The Way You Look Tonight,0
Yesterdays,0
Can't Help Lovin' Dat Man,0
Why Was I Born?,0
Too Marvelous For Words,0
Early Autumn,0
Ooooh...,0
"Lord, dear Lord above, God almighty,",0
"God of love, Please look down and see my people through.",0
I believe that God put sun and moon up in the sky.,0
I don't mind the gray skies,0
'cause they're just clouds passing by.,0
Heaven is a goodness time. A brighter light on high.,0
Do unto others as you would have them do to you.,0
And have a brighter by and by.,0
"Lord, dear Lord above, God almighty,",0
"God of love, Please look down and see my people through.",0
"I believe God is now, was then and always will be.",0
With God's blessing we can make it through eternity.,0
"Lord, dear Lord above, God almighty,",0
"God of love, Please look down and see my people through.",0
They say into your early life romance came,0
And in this heart of yours burned a flame,0
A flame that flickered one day and died away,0
"Then, with disillusion deep in your eyes",0
You learned that fools in love soon grow wise,0
"The years have changed you, somehow",0
I see you now,0
"Smoking, drinking, never thinking of tomorrow, nonchalant",0
"Diamonds shining, dancing, dining with some man in a restaurant",0
Is that all you really want?,0
"No, sophisticated lady,",0
"I know, you miss the love you lost long ago",0
And when nobody is nigh you cry,0
"Smoking, drinking, never thinking of tomorrow, nonchalant",0
"Diamonds shining, dancing, dining with some man in a restaurant",0
Is that all you really want?,0
"No, sophisticated lady,",0
"I know, you miss the love you lost long ago",0
And when nobody is nigh you cry,0
Sophisticated lady,0
You cry,0
"Hurry, hurry, hurry",0
Take the A train,0
To get to Sugar Hill way up in Harlem,0
If you should take the A train,0
You'll get to where you're going in a hurry,0
"Hurry, hurry, hurry",0
Now it's goin',0
Can you hear the rails a hummin' (boo de ahh dah),0
If you should miss the A train,0
You'll miss the quickest way to get to Harlem,0
Do Nothing Till You Hear From Me,0
Cheek To Cheek,0
Ill Wind,0
Speak Low,0
We'll Be Together Again,0
All Or Nothing At All,0
Sophisticated Lady,0
April In Paris,0
I Wished On The Moon,0
But Not For Me,0
Say It Isn't So,0
Our Love Is Here To Stay,0
I'm A Fool To Want You,0
For Heaven's Sake,0
You Don't Know What Love Is,0
I Get Along Without You Very Well,0
For All We Know,0
Violets For Your Furs,0
You've Changed,0
It's Easy To Remember,0
But Beautiful,0
Glad To Be Unhappy,0
I'll Be Around,0
The End Of A Love Affair,0
All Of You,0
Sometimes I'm Happy,0
You Took Advantage Of Me,0
When It's Sleepy Time Down South,0
There'll Be Some Changes Made,0
Deed I Do,0
Don't Worry 'Bout Me,0
All The Way,0
Just One More Chance,0
It's Not For Me To Say,0
I'll Never Smile Again,0
Baby Won't You Please Come Home,0
Your Mother's Son-In-Law,0
Riffin' The Scotch,0
I Wished On The Moon,0
What A Little Moonlight Can Do,0
Miss Brown To You,0
A Sunbonnet Blue (And A Yellow Straw Hat),0
"What A Night, What A Moon, What A Girl",0
I'm Painting The Town Red,0
It's Too Hot For Words,0
Twenty-Four Hours A Day,0
Yankee Doodle Never Went To Town,0
Eeny Meeny Meiny Mo,0
If You Were Mine,0
These 'n' That 'n' Those,0
You Let Me Down,0
Spreadin' Rhythm Around,0
Life Begins When You're In Love,0
It's Like Reaching For The Moon,0
These Foolish Things,0
I Cried For You,0
Guess Who,0
Did I Remember?,0
No Regrets,0
Summertime,0
Billie's Blues,0
A Fine Romance,0
I Can't Pretend,0
"One, Two, Button Your Shoe",0
Let's Call A Heart A Heart,0
Easy To Love,0
With Thee I Swing,0
The Way You Look Tonight,0
Born To Love,0
Without Your Love,0
Getting Some Fun Out Of Life,0
Who Wants Love?,0
Trav'lin' All Alone,0
He's Funny That Way,0
Nice Work If You Can Get It,0
Things Are Looking Up,0
My Man,0
Can't Help Lovin' Dat Man,0
My First Impression Of You,0
When You're Smiling (The Whole World Smiles With You),0
Can't Believe That You're In Love With Me,0
If Dreams Come True,0
Now They Call It Swing,0
On The Sentimental Side,0
Back In Your Own Backyard,0
When A Woman Loves A Man,0
You're So Desirable,0
You're Gonna See A Lot Of Me,0
"Hello, My Darling",0
Let's Dream In The Moonlight,0
That's All I Ask Of You,0
Dream Of Life,0
What Shall I Say?,0
It's Easy To Blame The Weather,0
More Than You Know,0
Sugar (That Sugar Baby O' Mine),0
You're Too Lovely To Last,0
Under A Blue Jungle Moon,0
Everything Happens For The Best,0
Why Did I Always Depend On You?,0
Long Gone Blues,0
Some Other Spring,0
Our Love Is Different,0
other songs:,0
Ain't Nobody's Business If I Do,0
All Of Me,0
Am I Blue?,0
Big Stuff,0
Carelessly,0
Crazy He Calls Me,0
Deep Song,0
Don't Explain,0
Don't Know If I'm Comin' Or Goin',0
Easy Living,0
Fine And Mellow,0
Gloomy Sunday,0
Guilty,0
I Can't Believe That You're In Love With Me,0
I Can't Give You Anything But Love,0
I'll Be Seeing You,0
I'll Look Around,0
I'm Gonna Lock My Heart And Throw Away The Key,0
I've Got My Love To Keep Me Warm,0
"Lover Man (Oh, Where Can You Be?)",0
No More,0
P.S. I Love You,0
Pennies From Heaven,0
Sentimental And Melancholy,0
"That's Life, I Guess",0
The Man I Love,0
The Mood That I'm In,0
Them There Eyes,0
There Is No Greater Love,0
What Is This Thing Called Love?,0
When You're Smiling,0
Where Is The Sun?,0
Who Loves You?,0
Why Was I Born?,0
You Better Go Now,0
You're My Thrill,0
My Blue Heaven,0
The Fat Man,0
Please Don't Leave Me,0
Ain't It A Shame,0
I'm In Love Again,0
When My Dreamboat Comes Home,0
Blueberry Hill,0
Blue Monday,0
I'm Walkin',0
Valley Of Tears,0
The Big Beat,0
"Yes, My Darling",0
Whole Lotta Loving,0
I'm Ready,0
I'm Gonna Be A Wheel Someday,0
I Want To Walk You Home,0
Be My Guest,0
Walking To New Orleans,0
Let The Four Winds Blow,0
You made me cry,0
"when you said, ""goodbye""",0
Ain't that a shame?,0
my tears fell like rain.,0
Ain't that a shame?,0
you're the one to blame.,0
You broke my heart,0
when you said we'll part,0
Ain't that a shame?,0
my tears fell like rain.,0
Ain't that a shame?,0
you're the one to blame,0
"Oh well, goodbye",0
although I'll cry.,0
Ain't that a shame...,0
I found my thrill on Blueberry Hill,0
"On Blueberry Hill, when I found you",0
The moon stood still on Blueberry Hill,0
And lingered until my dreams came true,0
The wind in the willow played,0
Love's sweet melody,0
But all of those vows you made,0
Were never to be,0
"Though we're apart, you're part of me still",0
For you were my thrill on Blueberry Hill,0
The wind in the willow played,0
Love's sweet melody,0
But all of those vows we made,0
Were never to be,0
"Though we're apart, you're part of me still",0
For you were my thrill on Blueberry Hill,0
"Oh, say, can you see,",0
"By the dawn's early light,",0
What so proudly we hailed,0
At the twilight's last gleaming?,0
"Whose broad stripes and bright stars,",0
"Through the perilous fight,",0
"O'er the ramparts we watched,",0
Were so gallantly streaming?,0
"And the rockets' red glare,",0
"The bombs bursting in air,",0
Gave proof through the night,0
That our flag was still there.,0
"O say, does that star-spangled banner yet wave",0
O'er the land of the free and the home of the brave,0
'Bout Time,0
(I'll Be Glad When You're Dead) You Rascal You,0
(Oh) Didn't He Ramble,0
A Kiss To Build A Dream On,0
Ain't Misbehavin',0
Alexander's Ragtime Band,0
All Of Me,0
As Time Goes By (A Kiss Is Just A Kiss),0
Azalea,0
"Baby, It's Cold Outside",0
Back O' Town Blues,0
Basin Street Blues,0
Bessie Couldn't Help It,0
Bibbidi-Bobbidi-Boo,0
Bill Bailey,0
Black & Blue,0
Blue Again,0
Blue Skies,0
Blueberry Hill,0
Butter & Egg Man,0
C'est Si Bon,0
Cabaret,0
Cake Walking Babies From Home,0
Carry Me Back To Old Virginny,0
